Year,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2007,PHO,25,9,9,299,64,127,.504,32,82,.390,32,45,.711,.630,19,26,.731,6,33,39,27,13,7,18,31,179
2009,PHO,27,11,11,362,82,182,.451,31,85,.365,51,97,.526,.536,50,56,.893,9,56,65,42,8,14,33,41,245
2010,PHO,28,4,4,125,26,55,.473,13,24,.542,13,31,.419,.591,9,11,.818,3,18,21,15,7,3,16,14,74
2011,PHO,29,5,5,156,33,83,.398,8,28,.286,25,55,.455,.446,26,28,.929,1,15,16,12,1,1,12,21,100
2013,PHO,31,5,5,186,30,90,.333,6,34,.176,24,56,.429,.367,38,40,.950,5,21,26,30,8,1,15,19,104
2014,PHO,32,8,8,259,62,126,.492,22,57,.386,40,69,.580,.579,29,34,.853,5,29,34,46,8,4,31,21,175
2016,PHO,34,5,5,154,35,68,.515,16,37,.432,19,31,.613,.632,32,33,.970,1,12,13,14,1,3,10,15,118
2017,PHO,35,5,5,159,27,66,.409,12,34,.353,15,32,.469,.500,20,26,.769,1,13,14,19,3,0,10,17,86
2018,PHO,36,7,7,247,51,107,.477,26,62,.419,25,45,.556,.598,19,22,.864,3,28,31,41,6,4,16,22,147
2020,PHO,38,2,2,70,16,34,.471,10,21,.476,6,13,.462,.618,9,9,1.000,1,7,8,15,1,0,4,6,51
2021,PHO,39,10,10,305,52,133,.391,34,98,.347,18,35,.514,.519,38,43,.884,2,33,35,29,5,6,30,31,176
Career,,,71,71,2322,478,1071,.446,210,562,.374,268,509,.527,.544,289,328,.881,37,265,302,290,61,43,195,238,1455
