 
Year,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,PHO,22,34,34,1130,209,503,.416,62,188,.330,147,315,.467,.477,98,129,.760,28,121,149,132,43,25,90,117,578
2005,PHO,23,33,33,1089,175,427,.410,56,179,.313,119,248,.480,.475,121,151,.801,22,116,138,150,38,28,112,111,527
2006,PHO,24,34,34,1152,298,660,.452,121,305,.397,177,355,.499,.543,143,183,.781,25,97,122,139,42,27,79,100,860
2007,PHO,25,32,32,1025,206,468,.440,95,259,.367,111,209,.531,.542,106,127,.835,18,117,135,137,45,34,84,106,613
2008,PHO,26,34,34,1083,258,579,.446,89,247,.360,169,332,.509,.522,215,247,.870,26,146,172,121,46,46,83,125,820
2009,PHO,27,31,31,976,200,434,.461,79,194,.407,121,240,.504,.552,152,170,.894,18,160,178,109,36,43,82,95,631
2010,PHO,28,31,31,998,212,497,.427,80,214,.374,132,283,.466,.507,198,217,.912,12,120,132,146,38,19,110,110,702
2011,PHO,29,32,32,965,208,463,.449,81,205,.395,127,258,.492,.537,195,216,.903,13,88,101,114,24,20,96,113,692
2012,PHO,30,8,8,166,34,78,.436,17,43,.395,17,35,.486,.545,27,30,.900,1,12,13,18,4,4,14,16,112
2013,PHO,31,32,32,1032,200,439,.456,69,199,.347,131,240,.546,.534,182,213,.854,18,116,134,197,22,15,116,103,651
2014,PHO,32,33,33,1018,171,377,.454,62,170,.365,109,207,.527,.536,132,151,.874,10,115,125,185,22,10,87,99,536
2016,PHO,34,33,33,984,180,455,.396,89,254,.350,91,201,.453,.493,140,154,.909,6,93,99,128,31,4,86,99,589
2017,PHO,35,31,31,883,168,420,.400,96,250,.384,72,170,.424,.514,124,136,.912,10,82,92,83,16,10,62,88,556
2018,PHO,36,33,33,989,202,453,.446,106,277,.383,96,176,.545,.563,172,186,.925,4,111,115,176,30,8,85,100,682
2019,PHO,37,6,6,129,4,39,.103,1,24,.042,3,15,.200,.115,17,18,.944,1,18,19,32,2,1,13,15,26
2020,PHO,38,19,19,533,96,235,.409,61,167,.365,35,68,.515,.538,103,113,.912,2,77,79,86,19,8,44,52,356
2021,PHO,39,16,16,455,70,191,.366,41,121,.339,29,70,.414,.474,62,72,.861,3,68,71,79,3,9,47,38,243
2022,PHO,40,31,31,962,150,402,.373,92,273,.337,58,129,.450,.488,127,142,.894,8,98,106,119,21,18,84,89,519
2023,PHO,41,10,10,292,45,125,.360,18,72,.250,27,53,.509,.432,33,39,.846,0,35,35,51,8,6,37,29,141
Career,,,513,513,15861,3086,7245,.426,1315,3641,.361,1771,3604,.491,.517,2347,2694,.871,225,1790,2015,2202,490,335,1411,1605,9834
