Year,Tm,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,PHO,22,34,34,1130,209,503,0.416,62,188,0.33,147,315,0.467,0.477,98,129,0.76,28,121,149,132,43,25,90,117,578
2005,PHO,23,33,33,1089,175,427,0.41,56,179,0.313,119,248,0.48,0.475,121,151,0.801,22,116,138,150,38,28,112,111,527
2006,PHO,24,34,34,1152,298,660,0.452,121,305,0.397,177,355,0.499,0.543,143,183,0.781,25,97,122,139,42,27,79,100,860
2007,PHO,25,32,32,1025,206,468,0.44,95,259,0.367,111,209,0.531,0.542,106,127,0.835,18,117,135,137,45,34,84,106,613
2008,PHO,26,34,34,1083,258,579,0.446,89,247,0.36,169,332,0.509,0.522,215,247,0.87,26,146,172,121,46,46,83,125,820
2009,PHO,27,31,31,976,200,434,0.461,79,194,0.407,121,240,0.504,0.552,152,170,0.894,18,160,178,109,36,43,82,95,631
2010,PHO,28,31,31,998,212,497,0.427,80,214,0.374,132,283,0.466,0.507,198,217,0.912,12,120,132,146,38,19,110,110,702
2011,PHO,29,32,32,965,208,463,0.449,81,205,0.395,127,258,0.492,0.537,195,216,0.903,13,88,101,114,24,20,96,113,692
2012,PHO,30,8,8,166,34,78,0.436,17,43,0.395,17,35,0.486,0.545,27,30,0.9,1,12,13,18,4,4,14,16,112
2013,PHO,31,32,32,1032,200,439,0.456,69,199,0.347,131,240,0.546,0.534,182,213,0.854,18,116,134,197,22,15,116,103,651
2014,PHO,32,33,33,1018,171,377,0.454,62,170,0.365,109,207,0.527,0.536,132,151,0.874,10,115,125,185,22,10,87,99,536
2016,PHO,34,33,33,984,180,455,0.396,89,254,0.35,91,201,0.453,0.493,140,154,0.909,6,93,99,128,31,4,86,99,589
2017,PHO,35,31,31,883,168,420,0.4,96,250,0.384,72,170,0.424,0.514,124,136,0.912,10,82,92,83,16,10,62,88,556
2018,PHO,36,33,33,989,202,453,0.446,106,277,0.383,96,176,0.545,0.563,172,186,0.925,4,111,115,176,30,8,85,100,682
2019,PHO,37,6,6,129,4,39,0.103,1,24,0.042,3,15,0.2,0.115,17,18,0.944,1,18,19,32,2,1,13,15,26
2020,PHO,38,19,19,533,96,235,0.409,61,167,0.365,35,68,0.515,0.538,103,113,0.912,2,77,79,86,19,8,44,52,356
2021,PHO,39,16,16,455,70,191,0.366,41,121,0.339,29,70,0.414,0.474,62,72,0.861,3,68,71,79,3,9,47,38,243
2022,PHO,40,31,31,962,150,402,0.373,92,273,0.337,58,129,0.45,0.488,127,142,0.894,8,98,106,119,21,18,84,89,519
2023,PHO,41,10,10,292,45,125,0.36,18,72,0.25,27,53,0.509,0.432,33,39,0.846,0,35,35,51,8,6,37,29,141
Career,PHO,0,513,513,15861,3086,7245,0.426,1315,3641,0.361,1771,3604,0.491,0.517,2347,2694,0.871,225,1790,2015,2202,490,335,1411,1605,9834
2007,PHO,25,9,9,33.2,7.1,14.1,0.504,3.6,9.1,0.39,3.6,5,0.711,0.63,2.1,2.9,0.731,0.7,3.7,4.3,3,1.4,0.8,2,3.4,19.9
2009,PHO,27,11,11,32.9,7.5,16.5,0.451,2.8,7.7,0.365,4.6,8.8,0.526,0.536,4.5,5.1,0.893,0.8,5.1,5.9,3.8,0.7,1.3,3,3.7,22.3
2010,PHO,28,4,4,31.3,6.5,13.8,0.473,3.3,6,0.542,3.3,7.8,0.419,0.591,2.3,2.8,0.818,0.8,4.5,5.3,3.8,1.8,0.8,4,3.5,18.5
2011,PHO,29,5,5,31.2,6.6,16.6,0.398,1.6,5.6,0.286,5,11,0.455,0.446,5.2,5.6,0.929,0.2,3,3.2,2.4,0.2,0.2,2.4,4.2,20
2013,PHO,31,5,5,37.2,6,18,0.333,1.2,6.8,0.176,4.8,11.2,0.429,0.367,7.6,8,0.95,1,4.2,5.2,6,1.6,0.2,3,3.8,20.8
2014,PHO,32,8,8,32.4,7.8,15.8,0.492,2.8,7.1,0.386,5,8.6,0.58,0.579,3.6,4.3,0.853,0.6,3.6,4.3,5.8,1,0.5,3.9,2.6,21.9
2016,PHO,34,5,5,30.8,7,13.6,0.515,3.2,7.4,0.432,3.8,6.2,0.613,0.632,6.4,6.6,0.97,0.2,2.4,2.6,2.8,0.2,0.6,2,3,23.6
2017,PHO,35,5,5,31.8,5.4,13.2,0.409,2.4,6.8,0.353,3,6.4,0.469,0.5,4,5.2,0.769,0.2,2.6,2.8,3.8,0.6,0,2,3.4,17.2
2018,PHO,36,7,7,35.3,7.3,15.3,0.477,3.7,8.9,0.419,3.6,6.4,0.556,0.598,2.7,3.1,0.864,0.4,4,4.4,5.9,0.9,0.6,2.3,3.1,21
2020,PHO,38,2,2,35,8,17,0.471,5,10.5,0.476,3,6.5,0.462,0.618,4.5,4.5,1,0.5,3.5,4,7.5,0.5,0,2,3,25.5
2021,PHO,39,10,10,30.5,5.2,13.3,0.391,3.4,9.8,0.347,1.8,3.5,0.514,0.519,3.8,4.3,0.884,0.2,3.3,3.5,2.9,0.5,0.6,3,3.1,17.6
Career,PHO,0,71,71,32.7,6.7,15.1,0.446,3,7.9,0.374,3.8,7.2,0.527,0.544,4.1,4.6,0.881,0.5,3.7,4.3,4.1,0.9,0.6,2.7,3.4,20.5
